mileage,make,model,gear,offerType,price,hp,year
11.0,29,110,1,3,950.0,150.0,2015
87.0,29,110,1,3,950.0,1.0,2015
137.0,2,10,1,3,950.0,116.0,2015
29.0,27,191,1,3,13406.062773722628,94.0,2016
19.0,29,152,1,3,8999.0,120.0,2016
192.0,26,131,1,3,8999.0,178.0,2016
15.0,7,179,1,3,9.0,90.0,2016
57800.0,17,3,1,3,9250.0,90.0,2016
86900.0,9,46,1,3,9380.0,1.0,2016
56617.0,29,235,1,3,9440.0,90.0,2016
70604.0,28,221,1,3,13406.062773722628,69.0,2016
43769.13214285715,28,221,1,3,13406.062773722628,69.0,2016
64783.0,28,221,1,3,13406.062773722628,69.0,2016
146148.0,21,41,1,3,9495.0,136.0,2016
43769.13214285715,21,41,1,3,9499.0,160.0,2016
63.0,21,35,1,3,13406.062773722628,87.0,2016
154494.0,-1,9,1,3,13406.062773722628,120.0,2016
72500.0,27,191,1,3,9650.0,136.0,2016
93300.0,21,41,1,3,13406.062773722628,1.0,2016
96999.0,21,41,1,3,13406.062773722628,136.0,2016
3.0,14,67,1,3,13406.062773722628,1.0,2016
666.0,1,27,0,3,20990.0,150.0,2017
6.0,14,185,0,3,27928.0,200.0,2017
67.0,18,103,0,3,34900.0,170.0,2017
55.0,1,30,0,3,34905.0,252.0,2017
320.0,18,90,0,3,37931.0,333.0,2017
74.0,31,227,1,3,5555.0,71.0,2017
31500.0,24,139,1,3,5780.0,60.0,2017
62490.0,24,139,1,3,6390.0,60.0,2017
870.0,29,235,1,3,6445.0,60.0,2017
35450.0,25,70,1,3,6445.0,60.0,2017
65635.0,29,235,1,3,6490.0,60.0,2017
83.0,28,44,1,3,6500.0,69.0,2017
43769.13214285715,7,-1,1,3,6700.0,90.0,2017
35093.0,29,235,1,3,6750.0,60.0,2017
66.0,8,158,1,3,6799.0,69.0,2017
600.0,11,228,1,3,6900.0,67.0,2017
118759.0,9,97,1,3,13406.062773722628,95.0,2017
31500.0,31,226,1,3,6999.0,71.0,2017
77403.0,9,97,1,3,7090.0,75.0,2017
6.0,1,31,0,3,31880.0,272.0,2018
73500.0,1,28,0,3,31980.0,163.0,2018
5.0,1,27,0,3,32940.0,218.0,2018
79300.0,18,104,0,3,34775.0,204.0,2018
46300.0,1,160,0,3,34890.0,190.0,2018
54496.0,1,30,0,3,35480.0,231.0,2018
51878.0,29,198,0,3,35490.0,239.0,2018
7360.0,9,99,1,1,13406.062773722628,150.0,2020
5050.0,9,99,1,1,19970.0,150.0,2020
8125.0,9,99,1,1,13406.062773722628,150.0,2020
50.0,9,157,1,2,13406.062773722628,125.0,2020
5050.0,9,99,1,1,13406.062773722628,150.0,2020
1.0,31,227,0,3,3940.0,54.0,2011
42571.0,11,228,1,3,3950.0,69.0,2011
130274.0,9,53,1,3,3950.0,150.0,2011
7517.0,11,228,1,3,3950.0,67.0,2011
21.0,11,230,1,3,13406.062773722628,90.0,2011
0.0,11,228,1,3,13406.062773722628,69.0,2011
416.0,21,123,1,3,13406.062773722628,160.0,2011
4500.0,20,143,1,3,13406.062773722628,88.0,2011
16.0,23,136,1,3,13406.062773722628,6.0,2011
43.0,11,228,1,3,13406.062773722628,69.0,2011
51174.0,8,149,1,3,13406.062773722628,69.0,2011
43769.13214285715,21,41,1,3,3999.0,1.0,2011
1.0,31,227,0,3,3999.0,61.0,2011
99121.0,-1,4,1,3,3999.0,60.0,2011
202.0,9,99,1,3,3999.0,95.0,2011
93.0,31,227,0,3,4795.0,71.0,2012
131663.0,9,97,1,3,4799.0,60.0,2012
137500.0,29,235,1,3,13406.062773722628,75.0,2012
122600.0,-1,5,1,3,13406.062773722628,120.0,2012
81698.0,29,235,1,3,4804.0,60.0,2012
87.0,21,79,1,3,4850.0,69.0,2012
89.0,14,154,1,3,4870.0,69.0,2012
26147.0,23,207,1,3,4890.0,75.0,2012
81500.0,28,44,1,3,4899.0,68.0,2012
119600.0,9,97,1,3,4900.0,82.0,2012
153289.0,11,230,1,3,4900.0,9.0,2012
52.0,9,97,0,3,4900.0,97.0,2012
56.0,9,127,1,3,4900.0,69.0,2012
276.0,1,26,1,3,4900.0,140.0,2012
215.0,9,99,1,3,4900.0,116.0,2012
159999.0,8,84,1,3,4900.0,90.0,2012
800.0,28,44,1,3,4900.0,68.0,2012
120185.0,24,122,1,3,4948.0,5.0,2012
116.0,24,122,1,3,4950.0,86.0,2012
0.0,9,127,1,3,13406.062773722628,69.0,2013
175.0,14,68,1,3,13406.062773722628,128.0,2013
74415.0,8,119,1,3,13406.062773722628,69.0,2013
42.0,11,229,1,3,13406.062773722628,86.0,2013
85571.0,14,168,1,3,5.0,86.0,2013
473.0,18,86,0,3,5.0,136.0,2013
0.0,9,127,1,3,50.0,69.0,2013
73350.0,25,70,1,3,5180.0,60.0,2013
124.0,9,97,1,3,5200.0,75.0,2013
162300.0,21,35,1,3,5200.0,69.0,2013
38220.0,28,44,1,3,5200.0,68.0,2013
43769.13214285715,14,168,1,3,5200.0,86.0,2013
115.0,5,83,1,3,5200.0,120.0,2013
94.0,24,122,1,3,5200.0,69.0,2013
74.0,7,134,1,3,5200.0,90.0,2013
43769.13214285715,14,168,1,3,5200.0,86.0,2013
58200.0,9,97,1,3,5200.0,60.0,2013
43769.13214285715,14,215,1,3,5200.0,90.0,2013
7.0,9,127,1,3,13406.062773722628,69.0,2013
43769.13214285715,7,179,1,3,13406.062773722628,90.0,2013
43769.13214285715,9,97,1,3,13406.062773722628,60.0,2015
50531.0,31,227,0,3,13406.062773722628,71.0,2015
55650.0,19,186,1,3,13406.062773722628,71.0,2015
42.0,24,139,1,3,13406.062773722628,60.0,2015
54777.0,9,97,1,3,5999.0,60.0,2015
3.0,25,70,1,3,6.0,60.0,2015
45.0,31,227,1,3,6.0,71.0,2015
93.0,8,159,1,3,6.0,69.0,2015
11.0,25,96,1,3,6.0,90.0,2015
0.0,11,228,1,3,6180.0,87.0,2015
790.0,20,138,1,3,6199.0,80.0,2015
87370.0,25,96,1,3,6199.0,86.0,2015
157300.0,8,159,1,3,6200.0,77.0,2015
61880.0,23,207,1,3,6200.0,71.0,2015
45.0,20,138,1,3,6200.0,80.0,2015
36018.0,19,186,1,3,6222.0,116.69868995633188,2015
132.0,9,97,1,3,6250.0,95.0,2015
77559.0,21,79,1,3,6290.0,69.0,2015
42.0,9,132,1,3,13790.0,120.0,2016
147.0,2,11,1,3,13999.0,190.0,2016
88250.0,21,41,1,3,14390.0,136.0,2016
6.0,21,224,0,3,14750.0,170.0,2016
460.0,21,140,1,3,14950.0,136.0,2016
0.0,21,140,1,3,1.0,136.0,2016
142.0,2,12,0,3,16490.0,258.0,2016
38500.0,29,200,1,3,16500.0,1.0,2016
136498.0,9,171,0,3,18450.0,179.0,2016
112300.0,1,27,0,3,18450.0,190.0,2016
12600.0,9,204,1,3,1.0,155.0,2016
2.0,2,20,0,3,1.0,258.0,2016
43769.13214285715,18,102,1,3,1.0,122.0,2016
34300.0,18,22,0,3,20899.0,2.0,2016
13.0,2,13,0,3,21700.0,258.0,2016
133500.0,1,30,0,3,22350.0,272.0,2016
0.0,2,19,0,3,23999.0,184.0,2016
0.0,2,19,0,3,23999.0,184.0,2016
98500.0,29,193,1,3,13406.062773722628,2.0,2016
16500.0,18,87,0,3,30888.0,194.0,2017
67500.0,18,87,0,3,30888.0,194.0,2017
49.0,9,99,1,3,30900.0,349.0,2017
4.0,18,51,0,3,31290.0,211.0,2017
59658.0,18,52,0,3,31487.0,245.0,2017
27.0,9,132,0,3,31690.0,179.0,2017
53501.0,30,219,0,3,31899.0,190.0,2017
67.0,18,24,0,3,31900.0,381.0,2017
50.0,18,104,0,3,32666.0,204.0,2017
27491.0,9,99,1,3,32900.0,349.0,2017
45.0,1,172,0,3,32900.0,3.0,2017
71494.0,18,105,0,3,32980.0,258.0,2017
36977.0,30,213,0,3,33280.0,254.0,2017
22181.0,30,219,0,3,33590.0,220.0,2017
29973.0,1,27,0,3,33650.0,252.0,2017
86900.0,30,220,0,3,33749.0,235.0,2017
86419.0,1,161,0,3,33920.0,190.0,2017
113.0,1,176,0,3,3.0,326.0,2017
4.0,30,219,0,3,34760.0,220.0,2017
38951.0,18,104,0,3,36490.0,204.0,2017
32.0,6,42,0,3,33900.0,300.0,2018
125.0,18,208,0,3,33980.0,163.0,2018
550.0,2,19,0,3,3.0,190.0,2018
877.0,1,30,0,3,3.0,272.0,2018
27586.0,1,29,0,3,34589.0,190.0,2018
74426.0,1,161,0,3,34820.0,163.0,2018
87582.0,1,29,0,3,34820.0,218.0,2018
54.0,18,51,0,3,34900.0,211.0,2018
7496.0,30,220,0,3,3.0,235.0,2018
45726.0,9,92,0,3,3.0,209.0,2018
18202.0,9,92,0,3,3.0,209.0,2018
99862.0,1,30,0,3,35740.0,326.0,2018
36605.0,30,212,0,3,35989.0,250.0,2018
32950.0,30,213,0,3,36450.0,235.0,2018
84689.0,1,30,0,3,36550.0,320.0,2018
30797.0,18,104,0,3,36770.0,211.0,2018
429.0,29,198,0,3,36880.0,220.0,2018
23123.0,18,86,0,3,36880.0,184.0,2018
827.0,1,172,0,3,36900.0,3.0,2018
33.0,1,172,0,3,36900.0,3.0,2018
197.0,29,112,0,3,27480.0,245.0,2019
43769.13214285715,11,124,1,0,27670.0,120.0,2019
15243.0,29,112,0,3,27890.0,245.0,2019
